Customer_ID,Name,Segment,Total_Balance,Silent_Churn_Risk_Index,Risk_Band,Primary_Risk_Reason,Secondary_Risk_Reason,Why_At_Risk,Risk_Archetype,Recommended_Action,Dim1_Value,Dim2_Outflow,Dim3_Digital,Dim4_Service,Dim5_Credit,Dim6_Data_Confidence
CUST_00025,Yash Choudhary,Mass Retail,42857.18,23.17,Low,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,7.12,8.43,0.56,5.1,1.96,0.0
CUST_00026,Sanjay Kumar,Privileged,82213.59,35.01,Moderate,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,11.42,8.12,6.33,5.1,4.04,0.0
CUST_00027,Arvind Iyer,Mass Retail,5752.25,48.31,Moderate,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 15/20); Service friction (3 complaints, CSAT: 4.33)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,3.47,14.53,14.76,13.59,1.96,0.0
CUST_00028,Neha Patel,Privileged,65073.76,45.18,Moderate,RECENT_SERVICE_FRICTION,HIGH_COMPLAINT_FREQUENCY,"Service friction (4 complaints, CSAT: 4.0)",F: No Dominant Archetype,Standard monitoring; no immediate action required,11.8,9.83,6.3,13.0,4.25,0.0
CUST_00029,Kiran Bose,Mass Retail,139175.05,39.15,Moderate,RECENT_SERVICE_FRICTION,,"Service friction (1 complaints, CSAT: 4.0)",F: No Dominant Archetype,Standard monitoring; no immediate action required,8.98,12.36,3.83,12.02,1.96,0.0
CUST_00030,Sanjay Nair,Privileged,121248.17,44.84,Moderate,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,11.98,9.08,7.39,11.62,4.77,0.0
CUST_00031,Pranav Kumar,Mass Retail,28787.9,43.71,Moderate,RECENT_SERVICE_FRICTION,,"Service friction (3 complaints, CSAT: 4.0)",F: No Dominant Archetype,Standard monitoring; no immediate action required,7.48,13.65,6.45,13.34,1.96,0.83
CUST_00032,Priya Rao,Wealth,96407.33,51.05,High,DIGITAL_ENGAGEMENT_DECLINE,,Declining digital engagement (score: 13/20),F: No Dominant Archetype,Standard monitoring; no immediate action required,13.32,12.18,13.48,9.28,1.96,0.83
CUST_00033,Pranav Naidu,Mass Retail,2724.9,38.94,Moderate,CREDIT_STRESS,,Credit stress (Max DPD: 9.0),D: Credit Stress Driven Risk,Branch credit review; restructuring eligibility check; RM counseling,3.56,12.43,7.15,10.54,5.26,0.0
CUST_00034,Srinivas Singh,Wealth,99942.12,46.96,Moderate,HIGH_RECENT_OUTFLOW,RECENT_SERVICE_FRICTION,"High recent debit outflow (score: 15/25); Service friction (2 complaints, CSAT: 4.5)",F: No Dominant Archetype,Standard monitoring; no immediate action required,13.51,15.39,0.84,12.6,4.62,0.0
CUST_00035,Aditya Patel,Mass Retail,-1232.32,32.8,Moderate,LOW_CSAT,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,3.19,12.65,3.16,11.84,1.96,0.0
CUST_00036,Deepa Joshi,Mass Retail,11130.31,40.45,Moderate,HIGH_RECENT_OUTFLOW,,High recent debit outflow (score: 16/25),B: High Outflow + Weak Supporting Evidence,Monitor for 30 days; do NOT classify as churn risk without additional signals; investigate purpose of outflow,5.0,15.79,6.54,11.16,1.96,0.0
CUST_00037,Ananya Mishra,Mass Retail,8728.35,41.91,Moderate,RECENT_SERVICE_FRICTION,HIGH_COMPLAINT_FREQUENCY,"Service friction (4 complaints, CSAT: 3.75); Credit stress (Max DPD: 9.0)",D: Credit Stress Driven Risk,Branch credit review; restructuring eligibility check; RM counseling,5.52,12.33,4.73,14.07,5.26,0.0
CUST_00038,Karan Joshi,Mass Retail,13732.61,50.98,High,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 15/20); Service friction (2 complaints, CSAT: 3.5)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,7.04,10.2,14.69,14.14,4.91,0.0
CUST_00039,Vikas Rao,Mass Retail,153133.78,39.38,Moderate,RECENT_SERVICE_FRICTION,,"Service friction (2 complaints, CSAT: 4.5)",F: No Dominant Archetype,Standard monitoring; no immediate action required,9.68,10.22,4.56,12.96,1.96,0.0
CUST_00040,Rahul Bose,Wealth,128577.01,47.3,Moderate,DIGITAL_ENGAGEMENT_DECLINE,,Declining digital engagement (score: 15/20),F: No Dominant Archetype,Standard monitoring; no immediate action required,13.84,9.0,15.11,5.1,4.25,0.0
CUST_00041,Divya Kulkarni,Mass Retail,-1756.21,27.18,Low,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,3.18,8.91,5.22,5.1,4.77,0.0
CUST_00042,Vikas Desai,Mass Retail,3872.47,41.13,Moderate,DIGITAL_ENGAGEMENT_DECLINE,,Declining digital engagement (score: 16/20),C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,3.06,9.46,15.8,10.85,1.96,0.0
CUST_00043,Pranav Naidu,Wealth,170363.93,49.99,Moderate,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 13/20); Service friction (1 complaints, CSAT: 4.0)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,13.43,8.92,13.45,12.23,1.96,0.0
CUST_00044,Kavya Choudhary,Privileged,17971.09,32.62,Moderate,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,7.69,11.73,1.24,10.0,1.96,0.0
CUST_00045,Shreya Kulkarni,Mass Retail,57853.66,51.39,High,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 14/20); Service friction (2 complaints, CSAT: 4.0)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,8.45,13.02,13.58,12.3,4.04,0.0
CUST_00046,Sneha Sharma,Mass Retail,102984.1,56.1,High,HIGH_RECENT_OUTFLOW,DIGITAL_ENGAGEMENT_DECLINE,"High recent debit outflow (score: 17/25); Declining digital engagement (score: 15/20); Service friction (3 complaints, CSAT: 4.0)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,8.61,16.59,14.54,12.73,1.96,1.67
CUST_00047,Bhavya Naidu,Mass Retail,79567.66,42.91,Moderate,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,8.82,14.23,6.8,10.27,1.96,0.83
CUST_00048,Deepa Singh,Privileged,11912.39,51.4,High,HIGH_RECENT_OUTFLOW,DIGITAL_ENGAGEMENT_DECLINE,"High recent debit outflow (score: 16/25); Declining digital engagement (score: 14/20); Service friction (2 complaints, CSAT: 4.0)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,6.92,15.67,14.39,12.46,1.96,0.0
CUST_00049,Pranav Iyer,Mass Retail,15933.5,29.67,Low,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,5.07,9.55,1.45,11.64,1.96,0.0
CUST_00050,Ishita Sharma,Mass Retail,167706.7,61.61,High,HIGH_RECENT_OUTFLOW,DIGITAL_ENGAGEMENT_DECLINE,"High recent debit outflow (score: 17/25); Declining digital engagement (score: 15/20); Service friction (2 complaints, CSAT: 3.5); Credit stress (Max DPD: 22.0)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,10.56,17.08,15.18,12.97,5.82,0.0
CUST_00051,Priya Rao,Mass Retail,9151.7,37.62,Moderate,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,4.1,12.13,6.81,11.79,1.96,0.83
CUST_00052,Karan Patel,Mass Retail,2492.53,30.09,Moderate,CREDIT_STRESS,,Credit stress (Max DPD: 23.0),D: Credit Stress Driven Risk,Branch credit review; restructuring eligibility check; RM counseling,4.28,7.48,3.04,9.45,5.84,0.0
CUST_00053,Varun Joshi,Mass Retail,9888.11,35.86,Moderate,DIGITAL_ENGAGEMENT_DECLINE,,Declining digital engagement (score: 14/20),F: No Dominant Archetype,Standard monitoring; no immediate action required,4.2,10.88,13.72,5.1,1.96,0.0
CUST_00054,Pooja Desai,Mass Retail,12534.47,51.63,High,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 15/20); Service friction (3 complaints, CSAT: 3.33)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,5.37,12.61,14.8,14.6,4.25,0.0
CUST_00055,Arvind Kulkarni,Mass Retail,65744.31,38.55,Moderate,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,8.66,12.0,5.39,10.54,1.96,0.0
CUST_00056,Neha Kumar,Mass Retail,10285.55,42.6,Moderate,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 14/20); Service friction (2 complaints, CSAT: 3.0)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,4.26,9.31,14.11,12.96,1.96,0.0
CUST_00057,Riya Rao,Mass Retail,30597.35,27.61,Low,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,6.41,11.81,2.33,5.1,1.96,0.0
CUST_00058,Aditi Nair,Privileged,4401.42,50.73,High,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 15/20); Service friction (3 complaints, CSAT: 3.67)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,5.56,14.29,15.04,13.88,1.96,0.0
CUST_00059,Vivek Joshi,Mass Retail,52118.45,39.33,Moderate,DIGITAL_ENGAGEMENT_DECLINE,,Declining digital engagement (score: 15/20),F: No Dominant Archetype,Standard monitoring; no immediate action required,7.51,9.82,14.94,5.1,1.96,0.0
CUST_00060,Sahil Joshi,Mass Retail,93507.08,52.29,High,HIGH_RECENT_OUTFLOW,RECENT_SERVICE_FRICTION,"High recent debit outflow (score: 18/25); Service friction (2 complaints, CSAT: 4.0); Credit stress (Max DPD: 7.0)",D: Credit Stress Driven Risk,Branch credit review; restructuring eligibility check; RM counseling,10.56,17.64,6.91,12.14,5.04,0.0
CUST_00061,Rahul Singh,Mass Retail,66029.42,43.15,Moderate,RECENT_SERVICE_FRICTION,,"Service friction (3 complaints, CSAT: 3.33)",F: No Dominant Archetype,Standard monitoring; no immediate action required,8.52,12.64,5.11,14.92,1.96,0.0
CUST_00062,Yash Desai,Mass Retail,4840.85,33.6,Moderate,RECENT_SERVICE_FRICTION,,"Service friction (2 complaints, CSAT: 4.5)",F: No Dominant Archetype,Standard monitoring; no immediate action required,3.28,10.36,5.66,12.34,1.96,0.0
CUST_00063,Aditya Kumar,Mass Retail,170937.89,43.26,Moderate,RECENT_SERVICE_FRICTION,HIGH_COMPLAINT_FREQUENCY,"Service friction (4 complaints, CSAT: 4.25)",F: No Dominant Archetype,Standard monitoring; no immediate action required,9.99,12.04,6.76,12.51,1.96,0.0
CUST_00064,Deepa Mishra,Mass Retail,4713.11,46.44,Moderate,DIGITAL_ENGAGEMENT_DECLINE,,Declining digital engagement (score: 16/20),C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,3.24,13.5,16.35,11.39,1.96,0.0
CUST_00065,Aditya Mishra,Privileged,10650.35,39.11,Moderate,CREDIT_STRESS,,Credit stress (Max DPD: 18.0),D: Credit Stress Driven Risk,Branch credit review; restructuring eligibility check; RM counseling,8.98,11.89,1.68,10.82,5.74,0.0
CUST_00066,Arvind Mehta,Mass Retail,7675.88,45.1,Moderate,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 14/20); Service friction (2 complaints, CSAT: 4.5)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,3.83,12.8,13.96,12.55,1.96,0.0
CUST_00067,Bhavya Choudhary,Wealth,425599.76,47.34,Moderate,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,14.12,14.91,4.96,11.39,1.96,0.0
CUST_00068,Yash Bose,Privileged,172235.86,47.95,Moderate,DIGITAL_ENGAGEMENT_DECLINE,CREDIT_STRESS,Declining digital engagement (score: 14/20); Credit stress (Max DPD: 7.0),D: Credit Stress Driven Risk,Branch credit review; restructuring eligibility check; RM counseling,12.39,11.87,13.55,5.1,5.04,0.0
CUST_00069,Pranav Choudhary,Mass Retail,13327.6,51.47,High,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 15/20); Service friction (3 complaints, CSAT: 4.33); Credit stress (Max DPD: 13.0)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,5.49,11.12,15.42,13.9,5.54,0.0
CUST_00070,Manish Menon,Privileged,109010.6,47.99,Moderate,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 14/20); Service friction (1 complaints, CSAT: 4.0)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,11.08,8.71,14.15,12.09,1.96,0.0
CUST_00071,Ravi Verma,Mass Retail,18048.64,56.19,High,HIGH_RECENT_OUTFLOW,DIGITAL_ENGAGEMENT_DECLINE,"High recent debit outflow (score: 15/25); Declining digital engagement (score: 14/20); Service friction (3 complaints, CSAT: 3.67); Credit stress (Max DPD: 19.0)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,7.4,15.47,14.05,13.5,5.77,0.0
CUST_00072,Yash Verma,Mass Retail,16838.56,45.13,Moderate,DIGITAL_ENGAGEMENT_DECLINE,,Declining digital engagement (score: 14/20),F: No Dominant Archetype,Standard monitoring; no immediate action required,5.92,13.52,14.28,9.45,1.96,0.0
CUST_00073,Kiran Nair,Privileged,56428.33,56.02,High,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 17/20); Service friction (2 complaints, CSAT: 4.0)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,10.06,14.97,16.57,12.46,1.96,0.0
CUST_00074,Lakshmi Singh,Mass Retail,95937.78,35.38,Moderate,CREDIT_STRESS,,Credit stress (Max DPD: 15.0),D: Credit Stress Driven Risk,Branch credit review; restructuring eligibility check; RM counseling,9.86,12.47,2.32,5.1,5.63,0.0
CUST_00075,Arvind Iyer,Mass Retail,8976.26,35.65,Moderate,RECENT_SERVICE_FRICTION,LOW_CSAT,"Service friction (2 complaints, CSAT: 2.0)",F: No Dominant Archetype,Standard monitoring; no immediate action required,4.07,8.05,6.29,15.28,1.96,0.0
CUST_00076,Rakesh Menon,Mass Retail,15393.3,44.14,Moderate,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 14/20); Service friction (2 complaints, CSAT: 4.0)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,5.0,10.57,14.31,12.3,1.96,0.0
CUST_00077,Charan Iyer,Mass Retail,20434.83,53.59,High,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 15/20); Service friction (3 complaints, CSAT: 4.33); Credit stress (Max DPD: 44.0)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,6.3,13.3,14.73,13.33,5.93,0.0
CUST_00078,Bhavya Verma,Mass Retail,40972.04,43.95,Moderate,CREDIT_STRESS,,Credit stress (Max DPD: 18.0),D: Credit Stress Driven Risk,Branch credit review; restructuring eligibility check; RM counseling,8.36,14.29,7.9,7.66,5.74,0.0
CUST_00079,Gaurav Kulkarni,Mass Retail,27695.77,36.14,Moderate,RECENT_SERVICE_FRICTION,,"Service friction (1 complaints, CSAT: 4.0)",F: No Dominant Archetype,Standard monitoring; no immediate action required,6.18,8.48,7.32,12.2,1.96,0.0
CUST_00080,Harish Desai,Mass Retail,6092.13,34.08,Moderate,RECENT_SERVICE_FRICTION,LOW_CSAT,"Service friction (1 complaints, CSAT: 2.0)",F: No Dominant Archetype,Standard monitoring; no immediate action required,3.54,13.98,2.32,12.28,1.96,0.0
CUST_00081,Nandini Rao,Wealth,1496765.48,46.42,Moderate,HIGH_RECENT_OUTFLOW,,High recent debit outflow (score: 18/25),B: High Outflow + Weak Supporting Evidence,Monitor for 30 days; do NOT classify as churn risk without additional signals; investigate purpose of outflow,14.5,17.87,6.99,5.1,1.96,0.0
CUST_00082,Gaurav Verma,Mass Retail,3834.79,39.1,Moderate,RECENT_SERVICE_FRICTION,,"Service friction (3 complaints, CSAT: 3.67)",F: No Dominant Archetype,Standard monitoring; no immediate action required,3.05,14.4,5.54,14.15,1.96,0.0
CUST_00083,Priya Menon,Privileged,235971.6,45.87,Moderate,RECENT_SERVICE_FRICTION,CREDIT_STRESS,"Service friction (2 complaints, CSAT: 4.0); Credit stress (Max DPD: 10.0)",D: Credit Stress Driven Risk,Branch credit review; restructuring eligibility check; RM counseling,13.46,8.45,6.48,12.14,5.34,0.0
CUST_00084,Deepa Kumar,Mass Retail,11272.23,44.47,Moderate,RECENT_SERVICE_FRICTION,,"Service friction (2 complaints, CSAT: 3.5)",F: No Dominant Archetype,Standard monitoring; no immediate action required,6.37,14.67,5.3,13.68,4.45,0.0
CUST_00085,Riya Gupta,Mass Retail,79133.27,52.27,High,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 17/20); Service friction (1 complaints, CSAT: 2.0)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,8.82,10.93,16.6,13.96,1.96,0.0
CUST_00086,Sahil Joshi,Privileged,210548.12,37.33,Moderate,CREDIT_STRESS,,Credit stress (Max DPD: 10.0),D: Credit Stress Driven Risk,Branch credit review; restructuring eligibility check; RM counseling,12.59,10.28,4.02,5.1,5.34,0.0
CUST_00087,Harish Mehta,Privileged,49872.0,35.27,Moderate,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,9.83,11.91,4.8,5.1,1.96,1.67
CUST_00088,Ravi Verma,Privileged,85813.7,34.71,Moderate,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,11.33,13.11,3.21,5.1,1.96,0.0
CUST_00089,Ananya Rao,Privileged,26739.77,47.66,Moderate,HIGH_RECENT_OUTFLOW,RECENT_SERVICE_FRICTION,"High recent debit outflow (score: 16/25); Service friction (2 complaints, CSAT: 3.5)",F: No Dominant Archetype,Standard monitoring; no immediate action required,8.5,15.94,6.58,14.68,1.96,0.0
CUST_00090,Divya Choudhary,Privileged,261270.73,50.26,High,HIGH_RECENT_OUTFLOW,DIGITAL_ENGAGEMENT_DECLINE,High recent debit outflow (score: 17/25); Declining digital engagement (score: 15/20),F: No Dominant Archetype,Standard monitoring; no immediate action required,12.03,16.63,14.54,5.1,1.96,0.0
CUST_00091,Bhavya Desai,Privileged,216111.6,40.29,Moderate,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,13.37,10.3,7.27,5.1,4.25,0.0
CUST_00092,Rahul Menon,Wealth,219881.87,59.78,High,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 16/20); Service friction (1 complaints, CSAT: 3.0)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,14.3,14.74,16.24,12.54,1.96,0.0
CUST_00093,Sanjay Verma,Mass Retail,28464.69,54.06,High,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 16/20); Service friction (3 complaints, CSAT: 3.33)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,6.85,11.84,15.76,17.65,1.96,0.0
