Customer_ID,Name,Segment,KYC_Status,Primary_Branch,Primary_RM,Total_Balance,Account_Count,Total_Credit,Total_Debit,Transaction_Count,Days_Since_Last_Transaction,Loan_Count,Total_Loan_Amount,Max_DPD,Has_NPA,Complaint_Count,Recent_Complaint_Count,Average_CSAT,Average_Resolution_TAT,Session_Count,Recent_Session_Count,Days_Since_Last_Login,Silent_Churn_Risk_Index,Risk_Band,Primary_Risk_Reason,Secondary_Risk_Reason,Risk_Archetype,Why_At_Risk,Recommended_Action,Dim1_Value,Dim2_Outflow,Dim3_Digital,Dim4_Service,Dim5_Credit,Dim6_Data_Confidence,Is_High_Value,Is_At_Risk,Is_High_Value_At_Risk
CUST_00013,Nandini Mehta,Privileged,Completed,BR007,RM_064,135150.49,2,75429.51,35984.5,12,260,1.0,1117242.06,0.0,N,1.0,0.0,4.0,4.0,15,2,54,40.72,Moderate,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,12.7,12.57,2.95,10.54,1.96,0.0,False,False,False
CUST_00014,Arvind Reddy,Mass Retail,Pending,BR034,RM_015,7935.19,1,63299.76,16111.39,8,286,0.0,0.0,,,1.0,0.0,2.0,14.0,13,2,41,32.5,Moderate,RECENT_SERVICE_FRICTION,LOW_CSAT,F: No Dominant Archetype,"Service friction (1 complaints, CSAT: 2.0)",Standard monitoring; no immediate action required,3.89,9.65,1.94,14.23,1.96,0.83,False,False,False
CUST_00015,Dev Choudhary,Mass Retail,Pending,BR007,RM_036,13202.53,1,43691.11,40955.93,10,592,0.0,0.0,,,1.0,0.0,5.0,10.0,12,1,64,36.27,Moderate,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,4.72,13.16,6.02,9.58,1.96,0.83,False,False,False
CUST_00016,Divya Agarwal,Mass Retail,Completed,BR044,RM_001,26192.78,1,42822.88,10401.27,13,216,0.0,0.0,,,0.0,0.0,,,18,1,51,28.4,Low,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,6.05,8.84,6.45,5.1,1.96,0.0,False,False,False
CUST_00017,Yash Naidu,Mass Retail,Completed,BR006,RM_039,23702.91,2,61961.95,41595.04,15,116,0.0,0.0,,,1.0,0.0,4.0,6.0,13,0,427,49.5,Moderate,DIGITAL_ENGAGEMENT_DECLINE,,C: Digital Decline + Service Friction,Declining digital engagement (score: 17/20),Digital remediation + service recovery; proactive complaint follow-up; app UX review,6.47,13.24,16.68,11.15,1.96,0.0,False,False,False
CUST_00018,Vivek Gupta,Mass Retail,Completed,BR007,RM_051,49385.09,1,3984.11,3228.73,5,221,0.0,0.0,,,1.0,0.0,3.0,5.0,19,1,61,36.81,Moderate,RECENT_SERVICE_FRICTION,,F: No Dominant Archetype,"Service friction (1 complaints, CSAT: 3.0)",Standard monitoring; no immediate action required,7.41,8.14,7.05,12.25,1.96,0.0,False,False,False
CUST_00019,Rakesh Joshi,Wealth,Completed,BR007,RM_004,707461.2,2,90283.59,90714.56,24,62,1.0,180383.58,1.0,N,6.0,0.0,3.33,19.5,17,0,193,67.94,High,HIGH_RECENT_OUTFLOW,DIGITAL_ENGAGEMENT_DECLINE,A: High Value + Multi-Signal Risk,"High recent debit outflow (score: 17/25); Declining digital engagement (score: 16/20); Service friction (6 complaints, CSAT: 3.33); High-value customer (Balance: ₹707,461)",Priority RM outreach within 48 hours; personalized retention offer; fee waiver review,15.66,16.69,15.67,15.88,4.04,0.0,True,True,True
CUST_00020,Gaurav Joshi,Mass Retail,Completed,BR011,RM_094,264448.69,1,39886.47,93989.68,15,162,0.0,0.0,,,2.0,0.0,4.5,8.5,17,0,188,55.93,High,HIGH_RECENT_OUTFLOW,DIGITAL_ENGAGEMENT_DECLINE,C: Digital Decline + Service Friction,"High recent debit outflow (score: 16/25); Declining digital engagement (score: 16/20); Service friction (2 complaints, CSAT: 4.5)",Digital remediation + service recovery; proactive complaint follow-up; app UX review,9.64,16.37,15.62,12.34,1.96,0.0,False,True,False
CUST_00021,Neha Sharma,Privileged,Completed,BR010,RM_044,9198.25,1,39533.76,1318247.78,11,398,0.0,0.0,,,1.0,0.0,4.0,4.0,8,0,123,50.64,High,HIGH_RECENT_OUTFLOW,DIGITAL_ENGAGEMENT_DECLINE,C: Digital Decline + Service Friction,High recent debit outflow (score: 17/25); Declining digital engagement (score: 14/20),Digital remediation + service recovery; proactive complaint follow-up; app UX review,6.5,17.27,14.37,10.54,1.96,0.0,False,True,False
CUST_00022,Pranav Naidu,Mass Retail,Completed,BR008,RM_069,2419.5,1,35746.3,11681.63,9,102,1.0,662298.62,12.0,N,1.0,0.0,2.0,53.0,21,0,96,45.99,Moderate,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,C: Digital Decline + Service Friction,"Declining digital engagement (score: 13/20); Service friction (1 complaints, CSAT: 2.0); Credit stress (Max DPD: 12.0)",Digital remediation + service recovery; proactive complaint follow-up; app UX review,3.52,9.0,13.48,14.51,5.48,0.0,False,False,False
CUST_00023,Pooja Reddy,Privileged,Completed,BR017,RM_053,244121.55,1,16592.8,43316.86,11,193,0.0,0.0,,,0.0,0.0,,,11,1,57,37.95,Moderate,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,11.98,13.45,5.46,5.1,1.96,0.0,False,False,False
CUST_00024,Srinivas Gupta,Mass Retail,Completed,BR020,RM_093,7475.83,1,11104.15,19301.59,11,61,0.0,0.0,,,1.0,0.0,4.0,6.0,16,0,198,42.56,Moderate,DIGITAL_ENGAGEMENT_DECLINE,,C: Digital Decline + Service Friction,Declining digital engagement (score: 16/20),Digital remediation + service recovery; proactive complaint follow-up; app UX review,3.79,9.93,15.73,11.15,1.96,0.0,False,False,False
CUST_00025,Yash Choudhary,Mass Retail,Completed,BR048,RM_033,42857.18,1,15553.35,7211.9,4,308,0.0,0.0,,,0.0,0.0,,,18,3,30,23.17,Low,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,7.12,8.43,0.56,5.1,1.96,0.0,False,False,False
CUST_00026,Sanjay Kumar,Privileged,Completed,BR034,RM_096,82213.59,1,20555.19,2994.42,8,137,1.0,3389331.33,1.0,N,0.0,0.0,,,27,1,42,35.01,Moderate,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,11.42,8.12,6.33,5.1,4.04,0.0,False,False,False
CUST_00027,Arvind Iyer,Mass Retail,Completed,BR017,RM_041,5752.25,1,44219.32,55864.72,14,166,0.0,0.0,,,3.0,0.0,4.33,11.33,16,0,139,48.31,Moderate,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,C: Digital Decline + Service Friction,"Declining digital engagement (score: 15/20); Service friction (3 complaints, CSAT: 4.33)",Digital remediation + service recovery; proactive complaint follow-up; app UX review,3.47,14.53,14.76,13.59,1.96,0.0,False,False,False
CUST_00028,Neha Patel,Privileged,Completed,BR039,RM_044,65073.76,1,9651.55,17328.48,7,1219,2.0,6386625.93,2.0,N,4.0,0.0,4.0,4.0,8,1,88,45.18,Moderate,RECENT_SERVICE_FRICTION,HIGH_COMPLAINT_FREQUENCY,F: No Dominant Archetype,"Service friction (4 complaints, CSAT: 4.0)",Standard monitoring; no immediate action required,11.8,9.83,6.3,13.0,4.25,0.0,False,False,False
CUST_00029,Kiran Bose,Mass Retail,Completed,BR043,RM_072,139175.05,1,31787.46,34409.46,13,103,0.0,0.0,,,1.0,0.0,4.0,11.0,19,2,64,39.15,Moderate,RECENT_SERVICE_FRICTION,,F: No Dominant Archetype,"Service friction (1 complaints, CSAT: 4.0)",Standard monitoring; no immediate action required,8.98,12.36,3.83,12.02,1.96,0.0,False,False,False
CUST_00030,Sanjay Nair,Privileged,Completed,BR032,RM_014,121248.17,1,58914.2,12295.05,9,120,1.0,4718198.58,5.0,N,1.0,0.0,4.0,8.0,18,1,68,44.84,Moderate,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,11.98,9.08,7.39,11.62,4.77,0.0,False,False,False
CUST_00031,Pranav Kumar,Mass Retail,Pending,BR007,RM_014,28787.9,3,172130.03,137211.16,32,38,0.0,0.0,,,3.0,0.0,4.0,6.0,18,1,51,43.71,Moderate,RECENT_SERVICE_FRICTION,,F: No Dominant Archetype,"Service friction (3 complaints, CSAT: 4.0)",Standard monitoring; no immediate action required,7.48,13.65,6.45,13.34,1.96,0.83,False,False,False
CUST_00032,Priya Rao,Wealth,Pending,BR013,RM_003,96407.33,2,43892.02,30686.41,17,85,0.0,0.0,,,1.0,0.0,5.0,8.0,14,0,96,51.05,High,DIGITAL_ENGAGEMENT_DECLINE,,F: No Dominant Archetype,Declining digital engagement (score: 13/20),Standard monitoring; no immediate action required,13.32,12.18,13.48,9.28,1.96,0.83,True,True,True
CUST_00033,Pranav Naidu,Mass Retail,Completed,BR039,RM_043,2724.9,1,30730.56,34898.91,13,104,1.0,5133154.44,9.0,N,1.0,0.0,4.0,4.0,23,1,57,38.94,Moderate,CREDIT_STRESS,,D: Credit Stress Driven Risk,Credit stress (Max DPD: 9.0),Branch credit review; restructuring eligibility check; RM counseling,3.56,12.43,7.15,10.54,5.26,0.0,False,False,False
CUST_00034,Srinivas Singh,Wealth,Completed,BR024,RM_040,99942.12,1,16084.25,69100.71,6,439,1.0,1553814.33,4.0,N,2.0,0.0,4.5,10.5,16,3,35,46.96,Moderate,HIGH_RECENT_OUTFLOW,RECENT_SERVICE_FRICTION,F: No Dominant Archetype,"High recent debit outflow (score: 15/25); Service friction (2 complaints, CSAT: 4.5)",Standard monitoring; no immediate action required,13.51,15.39,0.84,12.6,4.62,0.0,True,False,False
CUST_00035,Aditya Patel,Mass Retail,,BR025,RM_086,-1232.32,1,47067.28,36485.15,8,550,1.0,1970105.39,0.0,N,1.0,0.0,2.0,1.0,22,2,46,32.8,Moderate,LOW_CSAT,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,3.19,12.65,3.16,11.84,1.96,0.0,False,False,False
CUST_00036,Deepa Joshi,Mass Retail,Completed,BR025,RM_016,11130.31,2,157557.51,77905.53,28,136,0.0,0.0,,,2.0,0.0,4.5,4.0,13,1,68,40.45,Moderate,HIGH_RECENT_OUTFLOW,,B: High Outflow + Weak Supporting Evidence,High recent debit outflow (score: 16/25),Monitor for 30 days; do NOT classify as churn risk without additional signals; investigate purpose of outflow,5.0,15.79,6.54,11.16,1.96,0.0,False,False,False
CUST_00037,Ananya Mishra,Mass Retail,Completed,BR027,RM_039,8728.35,1,28790.03,36478.05,13,58,2.0,4876100.45,9.0,N,4.0,0.0,3.75,5.5,10,1,48,41.91,Moderate,RECENT_SERVICE_FRICTION,HIGH_COMPLAINT_FREQUENCY,D: Credit Stress Driven Risk,"Service friction (4 complaints, CSAT: 3.75); Credit stress (Max DPD: 9.0)",Branch credit review; restructuring eligibility check; RM counseling,5.52,12.33,4.73,14.07,5.26,0.0,False,False,False
CUST_00038,Karan Joshi,Mass Retail,Completed,BR010,RM_034,13732.61,1,21835.98,18479.02,10,67,3.0,3708681.6,6.0,N,2.0,0.0,3.5,9.5,18,0,136,50.98,High,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,C: Digital Decline + Service Friction,"Declining digital engagement (score: 15/20); Service friction (2 complaints, CSAT: 3.5)",Digital remediation + service recovery; proactive complaint follow-up; app UX review,7.04,10.2,14.69,14.14,4.91,0.0,False,True,False
CUST_00039,Vikas Rao,Mass Retail,Completed,BR036,RM_032,153133.78,2,92039.99,56395.23,19,42,0.0,0.0,,,2.0,0.0,4.5,20.5,19,2,80,39.38,Moderate,RECENT_SERVICE_FRICTION,,F: No Dominant Archetype,"Service friction (2 complaints, CSAT: 4.5)",Standard monitoring; no immediate action required,9.68,10.22,4.56,12.96,1.96,0.0,False,False,False
CUST_00040,Rahul Bose,Wealth,Completed,BR016,RM_007,128577.01,1,20310.6,11710.23,10,721,1.0,351165.33,2.0,N,0.0,0.0,,,19,0,157,47.3,Moderate,DIGITAL_ENGAGEMENT_DECLINE,,F: No Dominant Archetype,Declining digital engagement (score: 15/20),Standard monitoring; no immediate action required,13.84,9.0,15.11,5.1,4.25,0.0,True,False,False
CUST_00041,Divya Kulkarni,Mass Retail,Completed,BR014,RM_091,-1756.21,1,19630.09,11030.11,11,311,1.0,7745181.03,5.0,N,0.0,0.0,,,11,1,53,27.18,Low,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,3.18,8.91,5.22,5.1,4.77,0.0,False,False,False
CUST_00042,Vikas Desai,Mass Retail,Completed,BR049,RM_088,3872.47,1,95772.11,14855.88,10,506,0.0,0.0,,,1.0,0.0,4.0,5.0,18,0,205,41.13,Moderate,DIGITAL_ENGAGEMENT_DECLINE,,C: Digital Decline + Service Friction,Declining digital engagement (score: 16/20),Digital remediation + service recovery; proactive complaint follow-up; app UX review,3.06,9.46,15.8,10.85,1.96,0.0,False,False,False
CUST_00043,Pranav Naidu,Wealth,Completed,BR034,RM_034,170363.93,1,23337.68,11040.97,9,361,0.0,0.0,,,1.0,0.0,4.0,15.0,20,0,95,49.99,Moderate,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,C: Digital Decline + Service Friction,"Declining digital engagement (score: 13/20); Service friction (1 complaints, CSAT: 4.0)",Digital remediation + service recovery; proactive complaint follow-up; app UX review,13.43,8.92,13.45,12.23,1.96,0.0,True,False,False
CUST_00044,Kavya Choudhary,Privileged,Completed,BR020,RM_079,17971.09,1,17690.15,34990.65,12,82,0.0,0.0,,,1.0,0.0,5.0,21.0,14,2,30,32.62,Moderate,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,7.69,11.73,1.24,10.0,1.96,0.0,False,False,False
CUST_00045,Shreya Kulkarni,Mass Retail,Completed,BR039,RM_036,57853.66,1,47208.51,39823.58,11,191,1.0,1456174.14,1.0,N,2.0,0.0,4.0,5.0,13,0,99,51.39,High,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,C: Digital Decline + Service Friction,"Declining digital engagement (score: 14/20); Service friction (2 complaints, CSAT: 4.0)",Digital remediation + service recovery; proactive complaint follow-up; app UX review,8.45,13.02,13.58,12.3,4.04,0.0,False,True,False
CUST_00046,Sneha Sharma,Mass Retail,Failed,BR044,RM_024,102984.1,1,30354.04,104461.56,12,363,0.0,0.0,,,3.0,0.0,4.0,4.0,11,0,130,56.1,High,HIGH_RECENT_OUTFLOW,DIGITAL_ENGAGEMENT_DECLINE,C: Digital Decline + Service Friction,"High recent debit outflow (score: 17/25); Declining digital engagement (score: 15/20); Service friction (3 complaints, CSAT: 4.0)",Digital remediation + service recovery; proactive complaint follow-up; app UX review,8.61,16.59,14.54,12.73,1.96,1.67,False,True,False
CUST_00047,Bhavya Naidu,Mass Retail,Pending,BR031,RM_064,79567.66,2,20213.67,52402.63,17,364,0.0,0.0,,,3.0,0.0,5.0,3.67,13,1,74,42.91,Moderate,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,8.82,14.23,6.8,10.27,1.96,0.83,False,False,False
CUST_00048,Deepa Singh,Privileged,Completed,BR039,RM_074,11912.39,1,57309.06,66873.44,15,52,0.0,0.0,,,2.0,0.0,4.0,5.5,16,0,124,51.4,High,HIGH_RECENT_OUTFLOW,DIGITAL_ENGAGEMENT_DECLINE,C: Digital Decline + Service Friction,"High recent debit outflow (score: 16/25); Declining digital engagement (score: 14/20); Service friction (2 complaints, CSAT: 4.0)",Digital remediation + service recovery; proactive complaint follow-up; app UX review,6.92,15.67,14.39,12.46,1.96,0.0,False,True,False
CUST_00049,Pranav Iyer,Mass Retail,Completed,BR025,RM_087,15933.5,1,12043.83,15485.48,11,177,0.0,0.0,,,1.0,0.0,3.0,3.0,14,2,33,29.67,Low,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,5.07,9.55,1.45,11.64,1.96,0.0,False,False,False
CUST_00050,Ishita Sharma,Mass Retail,Completed,BR031,RM_013,167706.7,2,199581.19,157972.91,25,129,1.0,8433284.1,22.0,N,2.0,0.0,3.5,4.5,14,0,161,61.61,High,HIGH_RECENT_OUTFLOW,DIGITAL_ENGAGEMENT_DECLINE,C: Digital Decline + Service Friction,"High recent debit outflow (score: 17/25); Declining digital engagement (score: 15/20); Service friction (2 complaints, CSAT: 3.5); Credit stress (Max DPD: 22.0)",Digital remediation + service recovery; proactive complaint follow-up; app UX review,10.56,17.08,15.18,12.97,5.82,0.0,False,True,False
CUST_00051,Priya Rao,Mass Retail,Pending,BR040,RM_054,9151.7,1,71816.34,33809.12,12,87,0.0,0.0,,,1.0,0.0,4.0,9.0,15,1,65,37.62,Moderate,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,4.1,12.13,6.81,11.79,1.96,0.83,False,False,False
CUST_00052,Karan Patel,Mass Retail,Completed,BR028,RM_013,2492.53,1,37218.85,29827.71,10,38,2.0,7814777.72,23.0,N,1.0,0.0,5.0,9.0,11,2,61,30.09,Moderate,CREDIT_STRESS,,D: Credit Stress Driven Risk,Credit stress (Max DPD: 23.0),Branch credit review; restructuring eligibility check; RM counseling,4.28,7.48,3.04,9.45,5.84,0.0,False,False,False
CUST_00053,Varun Joshi,Mass Retail,Completed,BR048,RM_069,9888.11,1,11902.49,24224.38,8,320,0.0,0.0,,,0.0,0.0,,,17,0,103,35.86,Moderate,DIGITAL_ENGAGEMENT_DECLINE,,F: No Dominant Archetype,Declining digital engagement (score: 14/20),Standard monitoring; no immediate action required,4.2,10.88,13.72,5.1,1.96,0.0,False,False,False
CUST_00054,Pooja Desai,Mass Retail,Completed,BR030,RM_011,12534.47,1,30563.84,36264.93,13,138,1.0,353735.76,2.0,N,3.0,0.0,3.33,7.0,7,0,141,51.63,High,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,C: Digital Decline + Service Friction,"Declining digital engagement (score: 15/20); Service friction (3 complaints, CSAT: 3.33)",Digital remediation + service recovery; proactive complaint follow-up; app UX review,5.37,12.61,14.8,14.6,4.25,0.0,False,True,False
CUST_00055,Arvind Kulkarni,Mass Retail,Completed,BR043,RM_099,65744.31,1,3176.07,31666.07,7,247,1.0,1117949.83,0.0,N,1.0,0.0,4.0,4.0,10,1,59,38.55,Moderate,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,8.66,12.0,5.39,10.54,1.96,0.0,False,False,False
CUST_00056,Neha Kumar,Mass Retail,Completed,BR025,RM_027,10285.55,1,22078.35,39453.7,13,88,0.0,0.0,,,2.0,0.0,3.0,2.5,10,0,115,42.6,Moderate,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,C: Digital Decline + Service Friction,"Declining digital engagement (score: 14/20); Service friction (2 complaints, CSAT: 3.0)",Digital remediation + service recovery; proactive complaint follow-up; app UX review,4.26,9.31,14.11,12.96,1.96,0.0,False,False,False
CUST_00057,Riya Rao,Mass Retail,Completed,BR033,RM_034,30597.35,1,19257.94,30377.35,9,373,0.0,0.0,,,0.0,0.0,,,11,2,49,27.61,Low,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,6.41,11.81,2.33,5.1,1.96,0.0,False,False,False
CUST_00058,Aditi Nair,Privileged,Completed,BR016,RM_016,4401.42,1,33694.18,5898689.28,15,71,0.0,0.0,,,3.0,0.0,3.67,5.67,12,0,153,50.73,High,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,C: Digital Decline + Service Friction,"Declining digital engagement (score: 15/20); Service friction (3 complaints, CSAT: 3.67)",Digital remediation + service recovery; proactive complaint follow-up; app UX review,5.56,14.29,15.04,13.88,1.96,0.0,False,True,False
CUST_00059,Vivek Joshi,Mass Retail,Completed,BR042,RM_096,52118.45,1,60587.73,17268.16,10,185,0.0,0.0,,,0.0,0.0,,,15,0,148,39.33,Moderate,DIGITAL_ENGAGEMENT_DECLINE,,F: No Dominant Archetype,Declining digital engagement (score: 15/20),Standard monitoring; no immediate action required,7.51,9.82,14.94,5.1,1.96,0.0,False,False,False
CUST_00060,Sahil Joshi,Mass Retail,Completed,BR005,RM_068,93507.08,2,62505.39,95401.38,17,31,2.0,4425618.15,7.0,N,2.0,0.0,4.0,4.5,16,1,67,52.29,High,HIGH_RECENT_OUTFLOW,RECENT_SERVICE_FRICTION,D: Credit Stress Driven Risk,"High recent debit outflow (score: 18/25); Service friction (2 complaints, CSAT: 4.0); Credit stress (Max DPD: 7.0)",Branch credit review; restructuring eligibility check; RM counseling,10.56,17.64,6.91,12.14,5.04,0.0,False,True,False
CUST_00061,Rahul Singh,Mass Retail,Completed,BR018,RM_095,66029.42,2,103898.12,67744.72,26,58,0.0,0.0,,,3.0,0.0,3.33,8.67,15,1,37,43.15,Moderate,RECENT_SERVICE_FRICTION,,F: No Dominant Archetype,"Service friction (3 complaints, CSAT: 3.33)",Standard monitoring; no immediate action required,8.52,12.64,5.11,14.92,1.96,0.0,False,False,False
CUST_00062,Yash Desai,Mass Retail,Completed,BR028,RM_098,4840.85,1,39752.36,20692.79,7,344,0.0,0.0,,,2.0,0.0,4.5,8.5,16,1,45,33.6,Moderate,RECENT_SERVICE_FRICTION,,F: No Dominant Archetype,"Service friction (2 complaints, CSAT: 4.5)",Standard monitoring; no immediate action required,3.28,10.36,5.66,12.34,1.96,0.0,False,False,False
